"","V1","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","Species","Country",2014,2013,2012,2011,2010,2009,2008,2007,2006
"2","ANF","Belgium",993,1633,1716,1279,1031,853,964,1363,1193
"3","ANF","Belgium",217,137,133,116,131,140,185,181,141
"4","ANF","Belgium",0,0,0,0,0,0,0,0,0
"5","ANF","Belgium",213,135,131,111,124,134,181,179,138
"6","ANF","Belgium",4,2,2,6,7,6,4,3,3
"7","ANF","Belgium",491,1124,1382,966,721,518,585,1040,907
"8","ANF","Belgium",26,47,58,27,19,19,29,73,69
"9","ANF","Belgium",0,0,0,0,0,0,0,1,0
"10","ANF","Belgium",98,49,59,95,127,56,43,44,21
"11","ANF","Belgium",42,95,144,138,94,73,101,242,217
"12","ANF","Belgium",167,422,472,352,235,193,212,369,301
"13","ANF","Belgium",147,511,636,353,240,178,195,308,293
"14","ANF","Belgium",11,0,13,1,6,0,6,3,7
"15","ANF","Belgium",0,0,0,0,0,0,0,0,0
"16","ANF","Belgium",0,0,0,0,0,0,0,0,0
"17","ANF","Belgium",285,373,201,196,179,195,194,142,144
"18","ANF","Belgium",6,4,6,4,7,7,2,8,18
"19","ANF","Belgium",279,368,196,192,172,188,193,135,127
"20","BIB","Belgium",448,299,318,405,413,425,578,574,472
"21","BIB","Belgium",0,0,0,0,0,0,0,0,0
"22","BIB","Belgium",0,0,0,0,0,0,0,0,0
"23","BIB","Belgium",11,7,17,21,48,52,37,27,30
"24","BIB","Belgium",0,0,0,0,0,0,0,0,0
"25","BIB","Belgium",0,0,0,1,0,0,0,0,0
"26","BIB","Belgium",11,7,17,21,48,52,37,27,30
"27","BIB","Belgium",434,288,298,376,357,368,535,537,433
"28","BIB","Belgium",1,1,1,2,3,2,2,3,4
"29","BIB","Belgium",353,225,219,314,306,318,446,421,339
"30","BIB","Belgium",9,36,51,40,29,24,50,60,58
"31","BIB","Belgium",67,23,24,16,15,21,34,48,24
"32","BIB","Belgium",3,3,3,3,4,4,2,5,6
"33","BIB","Belgium",0,0,0,0,0,0,1,0,1
"34","BIB","Belgium",0,0,0,0,0,0,0,0,0
"35","BIB","Belgium",0,0,0,0,0,0,0,0,0
"36","BIB","Belgium",4,5,4,8,8,4,6,10,10
"37","BIB","Belgium",0,0,0,0,0,0,0,1,1
"38","BIB","Belgium",3,5,3,8,8,4,6,9,9
"39","BIB","Belgium",0,0,0,0,0,0,0,0,0
"40","BLL","Belgium",309,315,317,341,350,336,360,419,390
"41","BLL","Belgium",0,0,0,0,0,0,0,0,0
"42","BLL","Belgium",0,0,0,0,0,0,0,0,0
"43","BLL","Belgium",99,101,110,101,104,109,117,110,105
"44","BLL","Belgium",0,0,0,0,0,0,0,0,0
"45","BLL","Belgium",68,66,84,67,41,39,38,54,47
"46","BLL","Belgium",31,36,26,34,63,70,79,56,58
"47","BLL","Belgium",0,0,0,0,0,0,0,0,0
"48","BLL","Belgium",0,0,0,0,0,0,0,0,0
"49","BLL","Belgium",0,0,0,0,0,0,0,0,0
"50","BLL","Belgium",0,0,0,0,0,0,0,0,0
"51","BLL","Belgium",0,0,0,0,0,0,0,0,0
"52","BLL","Belgium",209,213,205,238,244,223,240,306,281
"53","BLL","Belgium",9,15,28,31,37,28,26,32,35
"54","BLL","Belgium",161,132,104,122,134,118,131,168,157
"55","BLL","Belgium",5,10,17,19,11,13,23,37,23
"56","BLL","Belgium",21,28,26,24,24,29,30,37,25
"57","BLL","Belgium",14,28,31,41,38,34,29,33,41
"58","BLL","Belgium",0,0,0,0,0,0,0,0,0
"59","BLL","Belgium",0,0,0,0,0,0,0,0,0
"60","BLL","Belgium",0,0,0,0,0,0,0,0,0
"61","BLL","Belgium",1,1,3,2,3,4,3,3,4
"62","BLL","Belgium",0,0,0,0,0,0,0,0,1
"63","BLL","Belgium",1,1,3,2,2,3,3,3,4
"64","BLL","Belgium",0,0,0,0,0,0,0,0,0
"65","BRB","Belgium",22,3,0,0,0,0,0,0,0
"66","BRB","Belgium",22,3,0,0,0,0,0,0,0
